brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
OLYMPIKUS,Tenis Olympikus Masculino Mescla Esportivo Conforto Original,219,90,197,91,,
LEVE STAR,Tenis Masculino Esportivo Caminhada Academia Corrida Malhar.,78,99,57,95,4.3,(996)
,Tênis Olympikus Index Esportivo Masculino Academia Original,189,99,18,47,4.9,(77)
OLYMPIKUS,Tenis Olympikus Masculino Esportivo Amortecedor Original,239,99,227,99,,
OLYMPIKUS,Tênis Olympikus Dynamic Masculino Original,319,90,239,92,4.7,(499)
ASICS,Tênis Original Asics Trabuco 12 Gel Macio Leve Confortável,999,99,789,99,,
FILA,Fila Racer T2 Masculino Adultos,499,99,374,99,4.8,(92)
MIZUNO,Tênis Masculino Mizuno Wave Prophecy 9 Para Corrida Academia,219,92,31,42,,
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,222,22,169,99,4.8,(2075)
,Tênis Olympus Masculino Feminino Academia Levinho Promoção,59,99,5,83,,
CARDUME,Sapatilha Cardume Porus Preto,74,90,24,97,5.0,(10)
,Kit Tênis Esportivo It Shoes Masculino + Relógio Digital,169,90,120,62,4.4,(519)
,Kit Tenis Masculino Academia + Relógio Digital Led + Meia,169,90,126,21,4.4,(770)
FILA,Tênis Fila Carbon Tri Unissex Esporte Corrida Triathlon,699,99,524,99,,
EVOLTENN,Tenis Academia Corrida Original Caminhada Evoltenn Crossfit,78,90,62,33,4.5,(4296)
EVER WAY,Tênis Caminhada Corrida  Macio Confortável Academia Fitness,119,90,89,92,4.8,(29)
,Kit 2 Pares Tênis Feminino E Masculino Casual Old Off Star,159,90,123,12,4.2,(417)
OLYMPIKUS,Tenis Masculino Soma Olympikus Dia A Dia Original,249,99,184,99,4.7,(14)
OLDSEN,Tenis Masculino Lançamento Original Confortavel Tecido 38-45,78,95,70,30,4.3,(585)
NEW BALANCE,Tenis New Balance Fuelcell Propel V5- Original,699,90,69,99,,
OLDSEN,Tenis Masculino Infantil Jaguar De Corrida Academia 34-43,78,90,63,12,4.6,(678)
SAPATOFRAN,Tênis Sapatênis Esportivo Para Academia X-try Original Leve,77,26,71,91,4.1,(382)
,Tênis Esportivo Masculino Academia Corrida Confortável Nl450,189,90,18,46,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Masculino Dia A Dia Casual Nfe,379,99,322,99,,
ASICS,Tênis Masculino Asics Gel Revelation Original Couro Corrida,459,90,137,96,,
LORENZZO LOPEZ,Tênis Masculino Para Academia E Corrida Super Macio E Leve,39,90,13,30,4.4,(35)
MIZUNO,Tênis Masculino Mizuno Wave Nirvana 9 Adulto.,300,60,153,,4.3,(142)
WAVE,Tênis Esportivo Masculino Academia Caminhada Creation 20 Wav,94,89,31,63,,
NEW BALANCE,Tênis New Balance Masculino Corrida Confortável Trilha 500v2,399,99,38,78,,
DUBBELE,Tenis Masculino Academia Corrida Wave Force Promoção Barato,78,99,7,68,,
MIZUNO,Tênis Mizuno 101119119 Base One Com Solado Enerzy Vermelho,657,70,63,,,
PUMA,Tênis Casual Confortável Masculino Puma Wired Run,299,90,33,32,,
FILA,Tênis Fila Lugano 7.0 Masculino Azul,399,90,39,,,
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,78,99,61,61,4.4,(2969)
,Tênis Refletivo Masculino & Feminino Amortecimento 12 Molas,74,90,24,97,4.2,(19)
EVOLTENN,Tenis Academia Corrida Original Caminhada Evoltenn Crossfit,78,90,62,33,4.5,(4296)
VIA LIVRE,Tênis Adulto Masculino Advanced Sport Solado Eva Leve ,155,32,31,06,,
ASICS,Asics Gel-Sparta 2 Masculino Adultos,299,99,28,,4.6,(9)
UNDER ARMOUR,Tênis Under Armour Charged Wing Se Masculino Azul Lançamento,329,90,32,,,
FILA,Tênis Fila Recovery Masculino Corrida,324,89,31,50,,
,Tênis Unisex Preto Black Esportivo Treino Confortavel Oferta,69,90,23,30,,
FILA,Tenis Fila Recovery Masculino Running Trainning Corrida,369,99,35,87,,
OLIMPAK,Tênis Masculino Olimpak Para Academia Caminhada Original,99,90,9,71,4.5,(2437)
,Tenis Para Caminhada Academia Corrida Treino - Leve E Macio,64,90,6,31,4.5,(493)
ASICS,Tenis Masculino Asics Sendai Academia Caminhada Corrida,399,90,119,96,,
OLYMPIKUS,Tênis Olympikus Veloz 3 Masculino,289,90,28,11,,
OLYMPIKUS,Tênis Olympikus Inverse Academia Corrida Masculino Preto,328,80,31,,,
MIZUNO,Tênis Mizuno 101119119 Base One Com Solado Enerzy Vermelho,674,40,67,,,
FILA,Tênis Fila Lugano 7.0 Masculino Branco Original,399,90,39,,,
UNDER ARMOUR,Tênis Under Armour Tribase Cross Se Masculino Preto Crossfit,549,90,54,,,
NEW BALANCE,Tênis New Balance Fresh Foam Arishiv4 Verde Masculino,449,99,404,99,,
UNDER ARMOUR,Tênis Under Armour Charged Wing Se Promoção Pix Adulto,359,81,34,,,
ADIDAS,Tênis adidas Response Runner Unissex + Mochila E Garrafinha ,324,85,31,49,,
OLYMPIKUS,Tênis Olympikus Cosmo Masculino Cinza E Verde Original,252,99,190,02,,
OLYMPIKUS,Tenis Olympikus Masculino Delta/122,209,99,188,99,,
UNDER ARMOUR,Tênis Under Armour Charged Wing Se Masculino Azul,329,90,32,,,
,Tênis Ecotênis Corrida Academia Treino Esportivo Caminhada,68,90,22,97,,
FILA,Fila KR6 Masculino Adultos,379,90,284,92,4.7,(392)
HOKA,Tênis Hoka Clifton 9 Masculino,1.299,,130,,,
MIZUNO,Tênis Mizuno 101119119 Base One Com Solado Enerzy Vermelho,679,90,67,,,
ADIDAS,Tênis adidas Response Runner Unissex + Pochete De Corrida,339,90,33,99,,
OLYMPIKUS,Olympikus CORRIDA Voa 2 Masculino Adultos,299,99,269,99,4.8,(669)
XPRO,Tênis Esportivo Academia Corrida Caminhada Masculino Feminin,129,90,12,63,,
VANS,Tênis Masculino Feminino Coleção Vans Original Skate 34 A 43,399,90,151,96,,
FILA,Tênis Fila Lugano 7.0 Masculino Azul Original,399,90,39,,,
MIZUNO,Tênis Mizuno Wave Mirai 6 Corrida 101081081 Chumbo,489,90,48,99,,
FILA,Tênis Fila Lugano 7.0 Masculino Branco,399,90,39,,,
FILA,S Fila Lugano 7.0 Masculino Branco Promoção Pix Adulto,439,56,42,,,
OLYMPIKUS,Tênis Running Masculino Delta Olympikus Marinho,234,59,187,67,,
FILA,Tênis Fila Lugano 7.0 Masculino Branco Lançamento,399,90,39,,,
,Tênis Masculino Feminino Meia Sem Cadarço Calce Fácil Macio,49,89,47,39,,
OLYMPIKUS,Tênis Olympikus Veloz 3 Laranja Verde Branco Unissex,289,90,28,11,,
NEW BALANCE,Tênis Masculino 997s Sport Envio Imediato,229,99,188,59,,
,Tênis Masculino Esportivo Casual Branco Fitness Caminhada,105,41,10,25,,
,Tênis Ecotênis Conforto Extra Leve Caminhada E Corrida,59,90,5,82,,
UNDER ARMOUR,Under Armour Charged Quicker Amarelo - Masculino ,399,90,39,99,,
,Tênis Masculino Sapatenis Streetwear Confortável + Relógio,28,50,14,25,,
FILA,Tênis Fila Lugano 7.0 Masculino Azul Promoção Pix Adulto,439,56,42,,,
UNDER ARMOUR,Tênis Under Armour Charged Wing Se Masculino Preto Corrida,329,90,32,,,
ON RUNNING,Tênis On Running Cloudventure Masculino,840,40,714,,,
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,78,90,62,91,4.5,(2732)
ASICS,Tenis Masculino Asics Sendai Academia Caminhada Corrida,399,90,119,96,,
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,63,90,6,21,4.4,(347)
,Tênis Refletivo Masculino & Feminino Amortecimento 12 Molas,74,90,24,97,4.2,(19)
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,78,90,62,91,4.5,(2732)
ASICS,Tênis Asics Gel-kambarah Corrida Confortável Masculino,599,99,479,99,,
OLYMPIKUS,Tenis Olympikus Perfect 4 43631292-ptdrd,279,35,27,08,,
,Tênis Masculino Esportivo Caminhada Corrida Academia,79,90,26,63,,
NEW BALANCE,Tênis Masculino 997s Sport Adulto Super Promoção Aproveitem!,229,99,197,79,,
OLYMPIKUS,Olympikus CORRIDA Veloz 2 Masculino Adultos,216,86,30,,4.8,(289)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,71,99,4.5,(11320)
,Tenis  Masculino Promoção  Lançamento Original  Confortável.,69,90,52,25,4.5,(483)
OLDSEN,Tênis Masculino Para Correr Caminhar Colorado Oferta Barato ,78,90,63,12,4.2,(957)
ASICS,Tênis Casual Couro Academia Corrida Barato 34 Ao 43 Promoção,299,90,98,96,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino Esportivo Sola Alta,299,99,29,08,,
FILA,Tenis Fila Progress Lite Masculino Esportivo Mesh Original,309,95,269,65,,
